Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
60,30,48,0.79,1,0,2,1,0,rose
50,3,43,0.72,2,339,4,2,3,black
126,2,1,1.0,1,32,2,1,0,rose
286,6,19,0.32,1,0,2,1,0,rose
55,30,1,0.02,1,0,2,2,0,rose
143,1,0,0.0,1,365,2,2,3,black
64,1,24,0.4,1,0,3,2,0,rose
250,2,101,1.68,2,179,2,1,3,black
43,1,281,4.73,6,0,4,2,0,rose
75,30,33,0.56,1,0,2,2,0,rose
60,20,42,0.71,1,89,2,2,0,rose
72,30,6,0.1,1,0,3,2,0,rose
125,30,73,1.21,1,0,1,1,0,rose
219,2,129,2.18,7,66,3,1,0,rose
60,6,105,1.75,2,289,2,2,3,black
65,30,0,0.0,1,0,1,2,0,rose
85,30,19,0.32,3,365,2,2,3,black
65,6,12,0.2,2,0,1,2,0,rose
425,30,8,0.13,1,0,4,1,0,rose
100,31,2,0.04,1,0,1,2,0,rose
119,4,149,2.48,1,97,5,1,0,rose
122,30,27,0.45,1,0,3,2,0,rose
55,30,118,1.97,1,0,3,2,0,rose
350,40,7,0.31,1,44,1,1,0,rose
95,45,1,0.02,1,0,2,1,0,rose
60,30,0,0.0,1,0,2,2,0,rose
50,2,17,0.28,2,184,1,2,3,black
35,30,7,0.13,8,89,1,2,0,rose
110,30,7,0.12,1,63,1,1,0,rose
593,30,10,0.17,4,270,2,1,3,black
275,30,0,0.0,1,0,2,1,0,rose
40,30,22,0.36,1,0,3,2,0,rose
70,3,71,1.43,1,0,2,2,0,rose
179,30,75,1.26,1,136,1,1,0,rose
79,2,95,1.65,2,355,2,2,3,black
130,25,34,0.61,1,229,3,1,3,black
250,30,4,0.08,1,0,1,1,0,rose
76,30,55,0.92,1,365,2,1,3,black
541,5,160,2.63,1,243,1,1,3,black
47,28,54,0.9,2,11,1,2,0,rose
196,3,45,2.47,1,26,2,1,0,rose
120,1,111,1.98,1,78,1,2,0,rose
65,30,0,0.0,1,0,2,2,0,rose
99,30,1,0.41,1,40,2,2,0,rose
90,30,8,0.13,2,0,2,2,0,rose
97,5,81,1.36,5,363,2,2,3,black
135,30,3,0.05,1,0,1,1,0,rose
59,2,216,3.57,2,226,4,2,3,black
36,30,6,0.31,1,31,5,2,0,rose
159,30,1,0.02,2,0,1,2,0,rose
22,2,1,0.02,1,0,2,2,0,rose
155,4,6,0.11,1,289,2,1,3,black
112,30,20,0.35,2,0,1,2,0,rose
38,30,1,0.02,1,0,2,2,0,rose
60,2,6,0.1,1,0,2,2,0,rose
85,7,6,0.14,1,0,2,1,0,rose
100,30,0,0.0,1,0,1,1,0,rose
76,30,34,0.57,1,177,2,2,3,black
85,1,5,0.08,1,64,1,2,0,rose
77,3,8,0.14,1,33,3,2,0,rose
70,1,19,0.42,1,309,3,2,3,black
185,30,125,2.08,1,230,2,1,3,black
45,30,0,0.0,1,0,2,2,0,rose
70,30,8,0.14,1,0,2,2,0,rose
75,30,44,0.74,1,0,2,2,0,rose
115,10,0,0.0,1,365,1,2,3,black
353,5,34,0.57,12,53,1,1,0,rose
122,2,56,4.11,2,74,2,1,0,rose
353,5,36,0.6,12,53,1,1,0,rose
75,1,179,2.98,6,34,3,2,0,rose
145,2,193,3.23,2,74,2,1,0,rose
110,5,117,2.08,2,118,2,1,0,rose
286,5,6,0.1,12,53,1,1,0,rose
286,5,5,0.09,12,53,1,1,0,rose
286,5,6,0.1,12,53,1,1,0,rose
90,30,12,0.22,131,212,1,1,3,black
300,30,0,0.0,1,0,1,1,0,rose
135,30,40,0.89,2,310,3,1,3,black
164,30,22,0.37,1,0,1,1,0,rose
90,30,10,0.17,2,0,2,2,0,rose
85,30,7,0.12,2,0,1,1,0,rose
150,2,124,2.09,2,249,2,1,3,black
100,4,71,1.17,1,130,2,1,0,rose
75,3,58,0.99,1,0,2,2,0,rose
38,30,5,0.09,2,0,2,2,0,rose
175,4,6,0.1,1,8,1,1,0,rose
185,30,9,0.15,1,0,2,1,0,rose
44,3,40,0.68,4,300,4,2,3,black
171,1,199,3.34,2,55,2,1,0,rose
94,30,4,0.07,1,0,3,1,0,rose
125,30,32,0.74,1,0,2,1,0,rose
35,30,83,1.39,3,275,2,2,3,black
60,1,151,2.52,9,267,4,2,3,black
220,10,58,1.03,2,275,2,1,3,black
91,30,58,0.96,1,1,1,1,0,rose
149,2,176,2.98,7,17,3,1,0,rose
100,30,0,0.0,1,0,3,3,0,rose
150,30,1,0.02,1,0,2,2,0,rose
276,3,165,3.46,1,29,1,1,0,rose
150,30,0,0.0,1,0,1,2,0,rose
90,14,1,0.02,2,0,1,2,0,rose
161,4,63,1.05,1,38,1,1,0,rose
300,30,1,0.43,131,1,1,1,0,rose
69,2,92,1.53,1,363,5,1,3,black
42,1,98,1.63,8,351,3,2,3,black
114,2,208,3.43,2,21,2,1,0,rose
168,30,28,0.47,2,0,2,1,0,rose
72,3,92,1.75,2,48,2,2,0,rose
170,30,0,0.0,1,0,1,1,0,rose
315,30,164,2.77,4,248,2,1,3,black
150,3,81,1.47,1,89,2,1,0,rose
195,3,0,0.0,1,0,2,1,0,rose
80,30,12,0.27,2,33,2,1,0,rose
130,30,3,0.05,1,0,2,1,0,rose
1543,30,67,1.11,1,88,1,2,2,purple
150,3,123,2.08,2,0,1,1,0,rose
51,1,129,2.14,1,195,4,2,3,black
375,30,0,0.0,1,362,2,1,3,black
111,1,202,3.35,1,214,3,1,3,black
54,30,0,0.0,2,0,4,2,0,rose
225,60,0,0.0,1,91,1,1,0,rose
100,30,3,0.05,1,0,2,1,0,rose
90,30,13,0.22,2,0,2,2,0,rose
42,90,0,0.0,1,0,2,2,0,rose
79,14,67,1.13,2,0,1,2,0,rose
199,2,7,0.12,2,0,1,1,0,rose
139,7,7,0.12,1,0,1,1,0,rose
65,2,41,0.71,3,364,2,2,3,black
175,222,0,0.0,1,0,2,1,0,rose
140,1,12,0.21,1,365,3,2,3,black
146,2,121,2.02,7,56,3,1,0,rose
199,30,7,0.12,1,0,1,1,0,rose
149,2,124,2.06,7,70,3,1,0,rose
65,30,1,0.02,1,0,1,2,0,rose
190,30,1,0.02,1,0,2,1,0,rose
100,30,1,0.02,1,0,3,1,0,rose
628,30,65,1.1,2,251,1,1,3,black
88,2,166,2.76,1,170,1,2,0,rose
47,14,19,0.32,3,1,3,2,0,rose
60,31,152,2.57,3,31,3,2,0,rose
106,30,6,0.11,2,0,1,2,0,rose
180,2,31,0.52,1,51,1,1,0,rose
90,30,0,0.0,1,0,1,1,0,rose
41,31,1,0.02,207,0,3,2,0,rose
115,2,18,0.31,6,0,1,2,0,rose
165,1,45,0.8,6,98,1,2,0,rose
215,4,32,1.8,1,364,2,1,3,black
93,2,102,1.71,1,120,2,2,0,rose
37,30,6,0.1,5,40,4,2,0,rose
57,2,62,1.03,1,63,3,2,0,rose
40,30,2,0.03,1,0,2,2,0,rose
209,3,70,1.22,1,0,4,1,0,rose
