Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
500,30,110,40.72012,-74.00397,0.79,1,156,1,1,0,gray
110,5,39,40.76406,-73.92266,0.28,1,43,3,1,3,black
75,30,38,40.8241,-73.94415,0.28,2,365,1,2,0,gray
195,31,38,40.7253,-73.98028,0.26,1,62,1,1,3,black
625,4,16,40.67275,-73.97873,0.11,1,191,2,1,0,gray
78,30,174,40.80384,-73.95123,1.21,1,34,1,1,3,black
120,30,90,40.68462,-73.92895,0.65,1,151,2,1,3,black
250,30,10,40.73072,-73.99275,0.07,1,0,1,1,3,black
200,30,57,40.71983,-73.95992,0.41,1,88,2,1,3,black
135,30,193,40.792667388916016,-73.946533203125,1.34,4,137,1,1,3,black
65,30,92,40.68096,-73.94062,0.65,1,304,2,1,0,gray
111,3,257,40.81006,-73.94559,1.73,4,35,1,2,3,black
165,30,27,40.68511,-73.91927,0.19,4,365,2,2,0,gray
165,2,28,40.6755,-73.98137,0.2,2,33,2,1,3,black
125,30,3,40.81562,-73.94674,0.06,1,0,1,2,3,black
102,3,237,40.80617,-73.94757,1.65,1,66,1,1,3,black
135,30,145,40.71596,-73.96017,1.07,2,7,2,1,3,black
105,5,11,40.71391,-73.96059,0.08,2,0,2,2,3,black
130,30,165,40.72598,-73.97978,1.11,4,334,1,1,0,gray
81,2,76,40.68048,-73.93938,0.55,4,1,2,2,3,black
99,3,73,40.68595,-73.92923,0.64,2,271,2,2,0,gray
211,30,4,40.79918,-73.96248,0.03,1,0,1,1,3,black
70,1,62,40.68048,-73.93938,0.45,4,2,2,2,3,black
110,200,92,40.75743,-73.96825,0.62,1,0,1,1,3,black
150,30,27,40.74389,-74.00068,0.41,2,363,1,2,0,gray
477,2,543,40.72761,-73.98951,3.8,3,140,1,1,0,gray
95,4,228,40.72297,-73.98265,1.53,1,202,1,1,0,gray
315,3,158,40.72967,-73.95352,1.08,2,100,2,1,3,black
85,30,3,40.79907,-73.96517,0.02,1,0,1,2,3,black
650,6,51,40.71174,-73.95798,0.56,1,100,2,1,3,black
89,30,0,40.81161,-73.85499,0.0,6,0,4,2,3,black
97,2,56,40.881,-73.83511,0.47,7,364,4,1,0,gray
150,7,28,40.67188,-73.95097,0.22,1,101,2,1,3,black
189,2,436,40.72641,-73.98711,3.1,3,233,1,1,0,gray
260,30,3,40.66895,-73.99136,0.02,1,90,2,1,3,black
135,30,268,40.68253,-73.94295,1.81,2,0,2,1,3,black
200,30,0,40.72863,-73.9842,0.0,1,0,1,1,3,black
120,5,83,40.7106,-73.85246,1.22,3,102,3,1,3,black
68,30,148,40.74564,-73.97782,1.04,1,17,1,2,3,black
250,31,193,40.79864,-73.96209,1.37,1,0,1,1,3,black
55,30,62,40.68478,-73.9066,0.53,1,0,2,2,3,black
100,3,308,40.67582,-73.94316,2.08,1,0,2,2,3,black
350,30,6,40.68194,-73.99708,0.04,1,0,2,1,3,black
250,5,27,40.71771,-73.95849,0.26,1,0,2,1,3,black
100,30,46,40.67634,-73.95143,0.31,1,334,2,2,0,gray
110,30,118,40.65891,-73.98556,0.84,1,152,2,1,3,black
65,30,252,40.67579,-73.95072,1.74,2,281,2,2,0,gray
70,7,260,40.72497,-73.98356,1.75,2,19,1,2,3,black
150,30,47,40.72873,-73.98253,0.33,1,17,1,1,3,black
170,3,124,40.68646,-73.97548,0.89,1,147,2,1,3,black
199,1,15,40.72021,-73.99426,0.1,3,338,1,1,0,gray
302,4,36,40.67494,-73.97792,0.28,1,39,2,1,3,black
45,7,165,40.85981,-73.9063,1.17,1,142,4,2,3,black
85,10,56,40.7106,-73.95178,0.38,1,0,2,1,3,black
85,30,98,40.70829,-73.96564,0.69,2,34,2,1,3,black
184,7,0,40.60602,-73.97076,0.0,2,2,2,1,3,black
62,30,82,40.67478,-73.95165,0.59,1,24,2,1,3,black
177,30,179,40.71347,-73.96035,1.27,1,293,2,1,0,gray
95,30,165,40.70797,-73.94792,1.11,2,101,2,1,3,black
75,3,20,40.82899,-73.94345,0.16,1,364,1,2,0,gray
100,30,263,40.6857,-73.98131,1.87,1,0,2,1,3,black
190,30,68,40.68028,-73.99328,0.51,1,157,2,1,3,black
857,1,40,40.67487,-73.97637,0.31,2,365,2,1,1,green
79,30,15,40.79179,-73.93972,0.11,1,0,1,1,3,black
85,2,136,40.68876,-73.97758,1.26,3,141,2,2,3,black
370,3,157,40.72547,-73.98619,1.64,1,43,1,1,3,black
100,30,22,40.72506,-73.97906,0.16,1,0,1,1,3,black
199,1,208,40.72036,-73.99435,1.46,3,348,1,1,0,gray
171,2,306,40.67548,-73.98315,2.08,2,221,2,1,0,gray
550,6,30,40.80687,-73.95333,0.21,2,264,1,1,0,gray
230,60,28,40.74937,-73.99467,0.2,1,83,1,1,3,black
220,2,218,40.68088,-73.99102,1.66,2,191,2,1,0,gray
79,7,12,40.66946,-73.94638,0.09,2,349,2,1,0,gray
180,30,11,40.71085,-73.96672,0.08,1,283,2,1,0,gray
78,30,262,40.72852,-73.95655,1.86,1,90,2,2,3,black
2500,30,26,40.7751,-73.98595,0.19,10,364,1,1,1,green
67,30,32,40.72297,-73.9851,0.31,1,0,1,2,3,black
84,4,93,40.61019,-74.06757,0.67,1,139,5,1,3,black
175,30,18,40.80392,-73.94765,0.13,1,182,1,1,0,gray
187,31,5,40.80244,-73.96541,0.04,2,365,1,1,0,gray
304,30,238,40.71137,-73.9465,1.71,2,237,2,1,0,gray
97,30,33,40.67545,-73.96096,0.23,1,180,2,1,0,gray
175,30,18,40.7304,-74.00228,0.13,1,0,1,1,3,black
314,3,99,40.71345,-73.94289,0.77,1,310,2,1,0,gray
